round,mean_train_loss,mean_train_accuracy,mean_test_loss,mean_test_accuracy,total_train_examples,num_agents,num_encounters,unpaired_agents,agents_with_cache,mean_cache_entries_before_local_update,stale_evictions,capacity_evictions,cached_models_received
28,0.5352443810025177,0.7202220222022202,0.8281408186769486,0.49976000000000004,19998,10,5,0,10,3.0,0,5,10
29,0.538223366834002,0.7192719271927193,0.886290854666233,0.5,19998,10,5,0,10,3.0,0,8,10
30,0.5371673687179834,0.7202220222022202,0.7161120858669281,0.49992000000000003,19998,10,5,0,10,3.0,0,10,10
31,0.5437989744654607,0.7127212721272127,0.768088190984726,0.50064,19998,10,5,0,10,3.0,0,6,10
32,0.5443968262705225,0.7142714271427143,0.8346284226989745,0.5,19998,10,5,0,10,3.0,0,8,10
33,0.544931677970836,0.713021302130213,0.8339969297981262,0.5,19998,10,5,0,10,3.0,0,7,10
34,0.5448560357685819,0.7155215521552155,0.9342846340131759,0.49992000000000003,19998,10,5,0,10,3.0,0,6,10
35,0.5386335148646234,0.7144714471447144,0.806294677696228,0.49932,19998,10,5,0,10,3.0,0,5,10
36,0.5387275295300592,0.714921492149215,0.7558779811191559,0.50012,19998,10,5,0,10,2.9,1,4,10
37,0.539097909973857,0.7135713571357136,0.8886243233907223,0.49984,19998,10,5,0,10,2.9,0,5,10
38,0.5422403449233626,0.7132713271327132,0.796410072078705,0.5001599999999999,19998,10,5,0,10,2.9,0,7,10
39,0.5404842840452673,0.7159715971597159,0.8630339674043654,0.50092,19998,10,5,0,10,3.0,0,8,10
40,0.5376018250089298,0.716021602160216,0.8659690123653412,0.5,19998,10,5,0,10,3.0,0,10,10
41,0.5397090989101951,0.7156715671567156,0.8988784266948698,0.5,19998,10,5,0,10,3.0,0,6,10
42,0.5367467601354471,0.7204220422042205,0.8129513152503968,0.5007999999999999,19998,10,5,0,10,3.0,0,6,10
43,0.5378374605350095,0.7186218621862186,1.002328198940754,0.5,19998,10,5,0,10,3.0,0,6,10
44,0.5325276161230976,0.7238723872387238,0.8147396842360497,0.5013599999999999,19998,10,5,0,10,3.0,0,5,10
45,0.5347692055741057,0.7214221422142214,0.7736270724487303,0.5042,19998,10,5,0,10,3.0,0,6,10
46,0.5362999866030949,0.7191719171917191,0.7950869634675981,0.50244,19998,10,5,0,10,3.0,0,10,10
47,0.5396708322787481,0.7177717771777178,0.8748623328399656,0.4998,19998,10,5,0,10,3.0,0,6,10
48,0.5396036673968722,0.7173217321732174,0.8725925820350648,0.5,19998,10,5,0,10,3.0,0,8,10
49,0.5376823022827493,0.7178217821782178,0.9843924389672282,0.50448,19998,10,5,0,10,3.0,0,10,10
50,0.5324042529300458,0.7218221822182218,0.9357392308962345,0.49976000000000004,19998,10,5,0,10,3.0,0,6,10
