round,train_loss,train_accuracy,test_loss,test_accuracy,participating_clients,total_client_examples,alignment_mean,alignment_min,alignment_max,non_positive_alignments,direction_norm
39,0.608431698798579,0.6776177617761776,1.4080981069326401,0.5,10,19998,-0.2938367749098302,-0.43363448890998824,0.6917416511464605,9,0.016905980752721747
40,0.6110044945303751,0.6753175317531753,1.364367728805542,0.5,10,19998,-0.06265500241101676,-0.1925608869900747,0.5414164177365305,9,0.01574945968836429
41,0.6072823041719352,0.6791179117911791,0.7101937282562256,0.5,10,19998,0.4897690610384533,0.2608520409671111,0.7735302110784054,0,0.019501250760856285
42,0.5464892618235934,0.7117711771177118,0.7759758072853088,0.5,10,19998,0.32656131594817095,-0.9930184898559004,0.9350438203790791,3,0.28378292780715075
43,0.5437747549643033,0.7175217521752175,1.1923736446619033,0.5,10,19998,-0.34242126527751743,-0.9829966802575849,0.9573684374920454,7,0.17054908245206105
44,0.564036652216106,0.7022702270227023,1.9202395893543958,0.5,10,19998,-0.5637713046999843,-0.990645827863593,0.9629274188295525,8,0.16657340640486284
45,0.5955592326598965,0.6962196219621962,2.3021395376741887,0.5,10,19998,-0.7629937379147715,-0.9975692934683217,0.9945530738922441,9,0.14563921681058564
46,0.6083375037901967,0.6961196119611961,2.4051802086025478,0.5,10,19998,-0.7591943671922243,-0.9912468502591122,0.9644837805671187,9,0.05558767823958828
47,0.6123384467498137,0.6983198319831984,2.471533215945959,0.5,10,19998,-0.7681708929080013,-0.9788285378674761,0.8023235259022325,9,0.013905762409990096
48,0.6160423969644101,0.6958195819581958,2.4897089611068366,0.5,10,19998,-0.6891896507825086,-0.8709852056001376,0.6529351905431157,9,0.009785731189775968
49,0.6167409188696334,0.6958695869586958,2.5001732828959824,0.5,10,19998,-0.3977052511310003,-0.5245485384026126,0.5600040150497021,9,0.004531779943531125
50,0.6156615371887952,0.6954195419541954,0.6915310001373292,0.5298,10,19998,-0.2295444576271542,-0.2747203054282187,-0.08085540803638826,10,0.005505509441993526
